Word,TF-IDF Score,Class
fuck,771.8658851930636,toxic
fucking,442.09667410496195,toxic
like,406.69842478833453,toxic
wikipedia,391.64455015691954,toxic
shit,333.7539682354595,toxic
page,332.279881168201,toxic
stop,283.96768120921917,toxic
know,269.90105002208946,toxic
stupid,259.05173309535127,toxic
people,257.2377886508429,toxic
ass,255.5219818711929,toxic
suck,252.03696566017751,toxic
bitch,249.43422039444877,toxic
talk,233.43166128373858,toxic
article,224.89519823552314,toxic
think,221.258438718739,toxic
gay,210.1001378514633,toxic
life,204.87394811672965,toxic
idiot,200.11066860980304,toxic
asshole,199.6647796777171,toxic
fuck,189.79695953901899,severe_toxic
fucking,90.88032119243218,severe_toxic
bitch,64.21326189462226,severe_toxic
shit,59.39218984323318,severe_toxic
suck,58.227283984297706,severe_toxic
ass,48.26645300997375,severe_toxic
asshole,46.50745214972767,severe_toxic
dick,44.34318475803341,severe_toxic
cunt,42.43396627579623,severe_toxic
faggot,37.44456294373664,severe_toxic
wikipedia,30.36549764672709,severe_toxic
stupid,28.32383768300895,severe_toxic
cock,27.976316667386925,severe_toxic
like,27.77774980365204,severe_toxic
page,27.40250504392643,severe_toxic
gay,26.60757339448123,severe_toxic
die,26.361817138154898,severe_toxic
piece,25.78174054957832,severe_toxic
nigger,22.804540394111648,severe_toxic
hey,22.37046732531963,severe_toxic
fuck,651.0440189089479,obscene
fucking,368.04530214846034,obscene
shit,257.1127882424077,obscene
bitch,220.2607799694563,obscene
suck,216.12924990208913,obscene
like,206.3393324310119,obscene
ass,205.22994821786392,obscene
wikipedia,198.1825755303501,obscene
asshole,175.17387226926635,obscene
page,172.51077622539404,obscene
dick,158.75381885316062,obscene
cunt,158.34998997975973,obscene
stupid,150.67903433962837,obscene
faggot,144.72500704240505,obscene
know,141.99992156037635,obscene
stop,139.57885972322345,obscene
talk,118.68461329559997,obscene
people,115.95518189427423,obscene
life,114.19777458943628,obscene
think,111.99860766630462,obscene
die,30.412962235226008,threat
kill,26.789988201197303,threat
fucking,19.487905005419847,threat
fuck,18.417464422446127,threat
going,17.51021407282592,threat
hope,12.86829353446168,threat
ass,12.756249637622638,threat
shit,11.468358774104884,threat
death,10.565273801288718,threat
bitch,9.076192202208409,threat
like,9.064300638119715,threat
rape,8.892179379124983,threat
hell,8.456950277235926,threat
know,8.17427376066471,threat
wikipedia,8.09524739471956,threat
stop,7.608334687583414,threat
life,7.344430871833403,threat
im,7.283300727473181,threat
dead,7.151826523233487,threat
time,6.607360734857813,threat
fuck,522.7301640940825,insult
fucking,303.40040495668813,insult
bitch,204.72558151882833,insult
like,202.04698068482855,insult
shit,201.00910048360484,insult
wikipedia,185.45687113958707,insult
suck,182.27567380728294,insult
ass,171.99622221859917,insult
stupid,170.139790066211,insult
asshole,160.3782021807824,insult
idiot,152.29637666458993,insult
page,150.31836401640555,insult
faggot,145.65284891743795,insult
stop,138.59259810200126,insult
cunt,137.97145949732166,insult
know,130.38900624835543,insult
dick,127.77253576973415,insult
life,119.43335587089857,insult
people,117.6369714442447,insult
little,109.10794892680059,insult
gay,82.50344793767518,identity_hate
fuck,72.71482008011237,identity_hate
faggot,54.16465723921523,identity_hate
fucking,54.04608215630519,identity_hate
nigger,52.875480317180845,identity_hate
shit,37.5251470129095,identity_hate
like,37.51866257768625,identity_hate
ass,31.56473541014192,identity_hate
bitch,30.47919873520753,identity_hate
jew,23.89902655842033,identity_hate
people,23.669601134895885,identity_hate
wikipedia,23.072808404642622,identity_hate
stupid,21.85765389946378,identity_hate
homosexual,20.773135830893374,identity_hate
page,20.297718537818888,identity_hate
fag,20.182857854327775,identity_hate
hate,20.10945390014935,identity_hate
stop,19.985339912631083,identity_hate
suck,19.82226314452638,identity_hate
know,19.300052361769456,identity_hate
